Observation id	A2A Score							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A1.MP4							
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A2.MP4							
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A3.MP4							
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A4.MP4							
								
Observation date	2021-06-13 14:10:35							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
877.041	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A2.MP4	2126.150	29.97	Dominant	Entry/Exit Pot	Reproductive		POINT
878.295	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A2.MP4	2126.150	29.97	Dominant	Lead	Reproductive		POINT
878.542	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A2.MP4	2126.150	29.97	Subordinate	Fleeing Male	Subordinate		POINT
1138.052	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A3.MP4	2126.150	29.97	Subordinate	Fleeing Female	Subordinate		POINT
1196.362	C:/Users/Kimberly/Desktop/Video Stitching/A2A/A2A3.MP4	2126.150	29.97	Dominant	Chase	Aggressive		POINT
